animal_id,model_name,nll,sigma,tau,features,weights
W051,t_4,147519.44673864671,0.3,4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_4']","[array([ 0.34672523,  0.2504926 , -0.59721783]), array([-1.24567581, -1.11604477,  2.36172059]), array([-0.36590095,  0.36330155,  0.0025994 ]), array([ 0.58645042, -0.63430414,  0.04785334]), array([-0.06676006,  0.07734667, -0.01058654]), array([-0.18985032,  0.20245933, -0.01260905]), array([-0.13682451,  0.14271261, -0.00588809]), array([ 0.20675685,  0.35440364, -0.56116045])]"
W051,t_5,147552.12418858265,0.3,5,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_5']","[array([ 0.34643322,  0.26081361, -0.60724684]), array([-1.24974963, -1.13496576,  2.38471537]), array([-0.3658928 ,  0.36333349,  0.00255931]), array([ 0.58647978, -0.63425833,  0.0477786 ]), array([-0.06643451,  0.07821997, -0.01178545]), array([-0.19002563,  0.20270104, -0.01267545]), array([-0.13730352,  0.14347624, -0.00617273]), array([ 0.20833214,  0.3424498 , -0.55078192])]"
W051,t_6,147572.8461278183,0.3,6,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_6']","[array([ 0.34637758,  0.27370321, -0.62008079]), array([-1.25368559, -1.15518469,  2.40887028]), array([-0.3658893 ,  0.36335809,  0.0025312 ]), array([ 0.58650366, -0.6342182 ,  0.04771454]), array([-0.06619757,  0.07887892, -0.01268136]), array([-0.1901383 ,  0.20285185, -0.01271355]), array([-0.13763644,  0.14404346, -0.00640703]), array([ 0.2097208 ,  0.32634811, -0.5360689 ])]"
W051,t_7,147585.75567411905,0.3,7,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_7']","[array([ 0.34567604,  0.28614036, -0.6318164 ]), array([-1.25668131, -1.1736366 ,  2.43031783]), array([-0.36589047,  0.3633763 ,  0.00251399]), array([ 0.58652427, -0.6341871 ,  0.04766301]), array([-0.06602447,  0.07937053, -0.01334608]), array([-0.19021609,  0.20294755, -0.01273149]), array([-0.13786785,  0.1444602 , -0.00659234]), array([ 0.21218857,  0.31049523, -0.52268385])]"
W051,t_9,147599.24946680194,0.3,9,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_9']","[array([ 0.34270869,  0.30714294, -0.64985163]), array([-1.2605607 , -1.20360016,  2.46416086]), array([-0.3658987,  0.3634039,  0.0024948]), array([ 0.58655822, -0.63414617,  0.04758795]), array([-0.06579048,  0.08002752, -0.01423705]), array([-0.19031875,  0.20304833, -0.01272957]), array([-0.13815246,  0.14500941, -0.00685696]), array([ 0.21965885,  0.28342999, -0.50308883])]"
W051,t_12,147606.01340562466,0.3,12,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_12']","[array([ 0.33679785,  0.32890756, -0.66570542]), array([-1.26405864, -1.23412242,  2.49818107]), array([-0.36592314,  0.3634256 ,  0.00249754]), array([ 0.58660755, -0.63410973,  0.04750221]), array([-0.06557036,  0.08057236, -0.015002  ]), array([-0.1904145 ,  0.20310339, -0.01268889]), array([-0.1383573 ,  0.14545478, -0.0070975 ]), array([ 0.23321749,  0.25547553, -0.488693  ])]"
W051,t_15,147607.92655731633,0.3,15,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_15']","[array([ 0.33186898,  0.34314655, -0.67501552]), array([-1.26753838, -1.25418138,  2.52171977]), array([-0.36595124,  0.36343477,  0.00251461]), array([ 0.58665228, -0.63408835,  0.04743657]), array([-0.06541685,  0.0808708 , -0.01545407]), array([-0.19047534,  0.20311557, -0.01264024]), array([-0.1384564 ,  0.14569429, -0.00723747]), array([ 0.24510937,  0.23745518, -0.48256448])]"
W051,t_18,147608.53816399857,0.3,18,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_18']","[array([ 0.32849649,  0.35316741, -0.6816639 ]), array([-1.27152681, -1.2684329 ,  2.53995929]), array([-0.36597759,  0.36343871,  0.00253852]), array([ 0.58669089, -0.63407427,  0.04738402]), array([-0.06529815,  0.08105374, -0.01575555]), array([-0.19051473,  0.20311274, -0.01259777]), array([-0.13851327,  0.14583961, -0.00732632]), array([ 0.25392503,  0.22466755, -0.47859273])]"
W051,t_20,147608.86625685354,0.3,20,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_20']","[array([ 0.32681888,  0.35835316, -0.68517204]), array([-1.2742437 , -1.27588237,  2.55012601]), array([-0.36599367,  0.36343969,  0.00255386]), array([ 0.58671206, -0.6340685 ,  0.04735644]), array([-0.0652339 ,  0.08113882, -0.01590492]), array([-0.19053325,  0.20310701, -0.01257376]), array([-0.13853848,  0.14590765, -0.00736916]), array([ 0.25882854,  0.21820794, -0.47703648])]"
W051,t_25,147609.7735418212,0.3,25,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_25']","[array([ 0.32431468,  0.36805634, -0.69237102]), array([-1.28111634, -1.28998626,  2.5711026 ]), array([-0.36603024,  0.36343791,  0.00259233]), array([ 0.58675502, -0.63405998,  0.04730495]), array([-0.06510816,  0.08127929, -0.01617113]), array([-0.1905607 ,  0.20308817, -0.01252748]), array([-0.13858193,  0.14602151, -0.00743958]), array([ 0.26703747,  0.2057079 , -0.47274536])]"
