animal_id,model_name,nll,sigma,tau,features,weights
W082,t_3,168578.02746469987,0.05,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.45160691,  0.45353625, -0.90514316]), array([-0.36085918,  0.35683699,  0.00402219]), array([ 0.57576334, -0.62341381,  0.04765047]), array([-0.05836227,  0.07989809, -0.02153582]), array([-0.1744423 ,  0.18728454, -0.01284223]), array([-0.13048863,  0.13304824, -0.00255961]), array([-1.25465573, -1.27083812,  2.52549386])]"
W082,t_4,168387.03437554924,0.05,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.46901837,  0.47062717, -0.93964554]), array([-0.3608807 ,  0.35690951,  0.00397117]), array([ 0.57595435, -0.62335883,  0.04740451]), array([-0.05950215,  0.07959287, -0.02009071]), array([-0.17657159,  0.1886029 , -0.01203131]), array([-0.13093146,  0.13360192, -0.00267047]), array([-1.32610487, -1.34007   ,  2.66617486])]"
W082,t_5,168544.60884252258,0.05,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.4793363 ,  0.48036757, -0.95970387]), array([-0.3609277 ,  0.35693344,  0.0039942 ]), array([ 0.57619498, -0.62311941,  0.04692442]), array([-0.06038005,  0.07946541, -0.01908538]), array([-0.17840788,  0.18974248, -0.0113347 ]), array([-0.13130687,  0.13411702, -0.00281008]), array([-1.37193971, -1.38252575,  2.75446541])]"
W082,t_6,168860.9528039872,0.05,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.48582243,  0.48614947, -0.9719719 ]), array([-0.36100243,  0.35691285,  0.00408957]), array([ 0.57646672, -0.622787  ,  0.04632029]), array([-0.06106528,  0.07944428, -0.018379  ]), array([-0.18001374,  0.19071307, -0.01069928]), array([-0.13162515,  0.13458862, -0.0029636 ]), array([-1.40311139, -1.40984175,  2.8129534 ])]"
W082,t_7,169249.65642565332,0.05,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.49003759,  0.48960262, -0.97964021]), array([-0.36109178,  0.35686647,  0.00422531]), array([ 0.57674584, -0.62241926,  0.04567342]), array([-0.06161788,  0.07948014, -0.01786226]), array([-0.18144117,  0.19154303, -0.01010186]), array([-0.13189974,  0.13502706, -0.00312733]), array([-1.42519823, -1.42793089,  2.85312913])]"
W082,t_2,169611.86010000098,0.1,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.42771836,  0.42966173, -0.85738009]), array([-0.36344823,  0.35941648,  0.00403175]), array([ 0.57864223, -0.62676629,  0.04812406]), array([-0.05681335,  0.08088382, -0.02407047]), array([-0.17182795,  0.1859277 , -0.01409975]), array([-0.13030282,  0.13276741, -0.00246459]), array([-1.15715217, -1.17462648,  2.33177865])]"
W082,t_3,168568.28121440345,0.1,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.4632517 ,  0.46531083, -0.92856253]), array([-0.36342924,  0.35961547,  0.0038143 ]), array([ 0.57870804, -0.62724118,  0.04853342]), array([-0.05821258,  0.08027716, -0.02206467]), array([-0.17417146,  0.18734156, -0.01317033]), array([-0.13067435,  0.13330236, -0.00262812]), array([-1.28894838, -1.30639347,  2.59534234])]"
W082,t_4,168371.40517874382,0.1,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.48272278,  0.48445959, -0.96718237]), array([-0.3634595 ,  0.3596924 ,  0.00376709]), array([ 0.57889668, -0.6272325 ,  0.04833583]), array([-0.05935665,  0.07995119, -0.02059453]), array([-0.1762948 ,  0.18864555, -0.01235077]), array([-0.1310932 ,  0.13383728, -0.00274407]), array([-1.36746731, -1.38264479,  2.75011211])]"
W082,t_5,168523.9771207668,0.1,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.49460029,  0.49573352, -0.9903338 ]), array([-0.36351611,  0.35971752,  0.0037986 ]), array([ 0.57914515, -0.62701454,  0.04786939]), array([-0.06024091,  0.0798084 , -0.01956749]), array([-0.17813826,  0.18977763, -0.01163937]), array([-0.13145029,  0.13433949, -0.00288919]), array([-1.41876775, -1.43037607,  2.84914382])]"
W082,t_6,168836.16004557512,0.1,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.50231408,  0.50270144, -1.00501552]), array([-0.36360107,  0.35969603,  0.00390504]), array([ 0.57943031, -0.62668954,  0.04725924]), array([-0.06093156,  0.07977674, -0.01884519]), array([-0.17975769,  0.19074307, -0.01098538]), array([-0.13175305,  0.13480238, -0.00304933]), array([-1.45427711, -1.46175946,  2.91603657])]"
W082,t_7,169221.39548199283,0.1,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.50752734,  0.50710158, -1.01462891]), array([-0.3637005 ,  0.35964786,  0.00405264]), array([ 0.57972534, -0.62632144,  0.0465961 ]), array([-0.06148831,  0.0798055 , -0.01831718]), array([-0.18120183,  0.19156868, -0.01036686]), array([-0.13201389,  0.13523517, -0.00322128]), array([-1.47989547, -1.48306755,  2.96296302])]"
W082,t_2,169613.92359082104,0.2,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.43000826,  0.43197922, -0.86198748]), array([-0.36409488,  0.36011524,  0.00397964]), array([ 0.57938813, -0.62771401,  0.04832588]), array([-0.05677503,  0.08098671, -0.02421168]), array([-0.17176494,  0.18594865, -0.01418371]), array([-0.13035814,  0.13283792, -0.00247978]), array([-1.16363557, -1.18140891,  2.34504449])]"
W082,t_3,168570.08046387704,0.2,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46631996,  0.46841515, -0.93473511]), array([-0.36407735,  0.3603179 ,  0.0037595 ]), array([ 0.57944745, -0.62821511,  0.04876786]), array([-0.05817032,  0.08037473, -0.02220468]), array([-0.17409764,  0.18735413, -0.01325722]), array([-0.13071883,  0.13336553, -0.00264614]), array([-1.29797697, -1.31576595,  2.61374307])]"
W082,t_4,168372.80563607172,0.2,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.48636256,  0.48813556, -0.97449812]), array([-0.36411003,  0.36039606,  0.00371325]), array([ 0.57963516, -0.62821973,  0.04858496]), array([-0.05931481,  0.08004359, -0.02072865]), array([-0.17621847,  0.18865423, -0.01243582]), array([-0.13113108,  0.13389524, -0.00276356]), array([-1.37844946, -1.39396096,  2.77241008])]"
W082,t_5,168524.95006780647,0.2,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.49867792,  0.49984058, -0.9985185 ]), array([-0.3641691 ,  0.36042177,  0.00374735]), array([ 0.57988533, -0.62800849,  0.04812318]), array([-0.06020037,  0.07989682, -0.01969645]), array([-0.17806324,  0.18978411, -0.01172086]), array([-0.13148327,  0.13439364, -0.00291039]), array([-1.43127731, -1.44316966,  2.87444697])]"
W082,t_6,168836.73441853927,0.2,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.50673901,  0.50714455, -1.01388357]), array([-0.36425696,  0.3604    ,  0.00385682]), array([ 0.58017385, -0.6276862 ,  0.04751222]), array([-0.06089214,  0.07986244, -0.0189703 ]), array([-0.17968585,  0.19074796, -0.01106217]), array([-0.13178174,  0.134854  , -0.0030724 ]), array([-1.46800792, -1.47570079,  2.94370858])]"
W082,t_7,169221.61354877782,0.2,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51223607,  0.51181434, -1.02405041]), array([-0.36435919,  0.36035138,  0.00400779]), array([ 0.58047311, -0.62731851,  0.04684537]), array([-0.06144972,  0.07988935, -0.01843963]), array([-0.1811341 ,  0.19157221, -0.01043814]), array([-0.13203868,  0.13528524, -0.00324654]), array([-1.49462553, -1.49792134,  2.99254688])]"
W082,t_2,169614.6311607117,0.4,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.43058685,  0.43256488, -0.86315173]), array([-0.36425688,  0.36029042,  0.00396646]), array([ 0.57957486, -0.62795186,  0.048377  ]), array([-0.05676519,  0.08101261, -0.02424742]), array([-0.17174888,  0.18595383, -0.01420495]), array([-0.13037191,  0.13285554, -0.00248364]), array([-1.1652731 , -1.18312258,  2.34839569])]"
