animal_id,session,choice,proportion,Choice,percentage
W051,435,2,0.16435185185185186,Violation,16.44
W051,436,0,0.41163793103448276,Left,41.16
W051,436,1,0.38362068965517243,Right,38.36
W051,436,2,0.20474137931034483,Violation,20.47
W051,437,1,0.4720930232558139,Right,47.21
W051,437,0,0.42093023255813955,Left,42.09
W051,437,2,0.10697674418604651,Violation,10.7
W051,438,1,0.43628509719222464,Right,43.63
W051,438,0,0.4017278617710583,Left,40.17
W051,438,2,0.16198704103671707,Violation,16.2
W051,439,1,0.44038929440389296,Right,44.04
W051,439,0,0.39659367396593675,Left,39.66
W051,439,2,0.1630170316301703,Violation,16.3
W051,440,1,0.45305164319248825,Right,45.31
W051,440,0,0.41784037558685444,Left,41.78
W051,440,2,0.12910798122065728,Violation,12.91
W051,441,1,0.43874643874643876,Right,43.87
W051,441,0,0.4017094017094017,Left,40.17
W051,441,2,0.15954415954415954,Violation,15.95
W051,442,0,0.42574257425742573,Left,42.57
W051,442,1,0.42326732673267325,Right,42.33
W051,442,2,0.15099009900990099,Violation,15.1
W051,443,0,0.44630071599045346,Left,44.63
W051,443,1,0.4105011933174224,Right,41.05
W051,443,2,0.1431980906921241,Violation,14.32
W051,444,0,0.42790697674418604,Left,42.79
W051,444,1,0.4046511627906977,Right,40.47
W051,444,2,0.16744186046511628,Violation,16.74
W051,445,0,0.44299674267100975,Left,44.3
W051,445,1,0.42671009771986973,Right,42.67
W051,445,2,0.13029315960912052,Violation,13.03
W051,446,1,0.4119718309859155,Right,41.2
W051,446,0,0.3908450704225352,Left,39.08
W051,446,2,0.19718309859154928,Violation,19.72
W051,447,1,0.45454545454545453,Right,45.45
W051,447,0,0.4079822616407982,Left,40.8
W051,447,2,0.13747228381374724,Violation,13.75
W051,448,1,0.4578313253012048,Right,45.78
W051,448,0,0.4126506024096386,Left,41.27
W051,448,2,0.12951807228915663,Violation,12.95
W051,449,0,0.4497354497354497,Left,44.97
W051,449,1,0.42592592592592593,Right,42.59
W051,449,2,0.12433862433862433,Violation,12.43
W051,450,1,0.4014778325123153,Right,40.15
W051,450,0,0.3374384236453202,Left,33.74
W051,450,2,0.26108374384236455,Violation,26.11
W051,451,0,0.41450777202072536,Left,41.45
W051,451,1,0.39896373056994816,Right,39.9
W051,451,2,0.18652849740932642,Violation,18.65
W051,452,0,0.44495412844036697,Left,44.5
W051,452,1,0.42201834862385323,Right,42.2
W051,452,2,0.13302752293577982,Violation,13.3
W051,453,1,0.4434389140271493,Right,44.34
W051,453,0,0.42081447963800905,Left,42.08
W051,453,2,0.13574660633484162,Violation,13.57
W051,454,1,0.46958637469586373,Right,46.96
W051,454,0,0.36496350364963503,Left,36.5
W051,454,2,0.1654501216545012,Violation,16.55
W051,455,1,0.4576271186440678,Right,45.76
W051,455,0,0.4350282485875706,Left,43.5
W051,455,2,0.10734463276836158,Violation,10.73
W051,456,1,0.39603960396039606,Right,39.6
W051,456,0,0.33663366336633666,Left,33.66
W051,456,2,0.26732673267326734,Violation,26.73
W051,457,0,0.4473007712082262,Left,44.73
W051,457,1,0.44473007712082263,Right,44.47
W051,457,2,0.10796915167095116,Violation,10.8
W051,458,1,0.46275395033860045,Right,46.28
W051,458,0,0.4401805869074492,Left,44.02
W051,458,2,0.09706546275395034,Violation,9.71
W051,459,1,0.46403712296983757,Right,46.4
W051,459,0,0.43387470997679817,Left,43.39
W051,459,2,0.10208816705336426,Violation,10.21
W051,460,0,0.45093457943925236,Left,45.09
W051,460,1,0.45093457943925236,Right,45.09
W051,460,2,0.09813084112149532,Violation,9.81
W051,461,1,0.4447592067988669,Right,44.48
W051,461,0,0.39943342776203966,Left,39.94
W051,461,2,0.1558073654390935,Violation,15.58
W051,462,1,0.45325779036827196,Right,45.33
W051,462,0,0.42776203966005666,Left,42.78
W051,462,2,0.11898016997167139,Violation,11.9
W051,464,1,0.4619718309859155,Right,46.2
W051,464,0,0.4394366197183099,Left,43.94
W051,464,2,0.09859154929577464,Violation,9.86
W051,465,1,0.45544554455445546,Right,45.54
W051,465,0,0.4306930693069307,Left,43.07
W051,465,2,0.11386138613861387,Violation,11.39
W051,466,1,0.48364485981308414,Right,48.36
W051,466,0,0.42757009345794394,Left,42.76
W051,466,2,0.08878504672897196,Violation,8.88
W051,467,1,0.4640198511166253,Right,46.4
W051,467,0,0.43672456575682383,Left,43.67
W051,467,2,0.09925558312655088,Violation,9.93
W051,468,1,0.4629080118694362,Right,46.29
W051,468,0,0.41543026706231456,Left,41.54
W051,468,2,0.12166172106824925,Violation,12.17
W051,469,1,0.4607329842931937,Right,46.07
W051,469,0,0.4319371727748691,Left,43.19
W051,469,2,0.10732984293193717,Violation,10.73
W051,470,1,0.44675925925925924,Right,44.68
W051,470,0,0.38657407407407407,Left,38.66
W051,470,2,0.16666666666666666,Violation,16.67
W051,471,0,0.4642857142857143,Left,46.43
W051,471,1,0.45714285714285713,Right,45.71
W051,471,2,0.07857142857142857,Violation,7.86
W051,472,1,0.37701149425287356,Right,37.7
W051,472,0,0.37471264367816093,Left,37.47
W051,472,2,0.2482758620689655,Violation,24.83
W051,473,1,0.4371069182389937,Right,43.71
W051,473,0,0.4119496855345912,Left,41.19
W051,473,2,0.1509433962264151,Violation,15.09
W051,474,1,0.3955056179775281,Right,39.55
W051,474,0,0.34606741573033706,Left,34.61
W051,474,2,0.25842696629213485,Violation,25.84
W051,475,1,0.42391304347826086,Right,42.39
W051,475,0,0.41304347826086957,Left,41.3
W051,475,2,0.16304347826086957,Violation,16.3
W051,476,1,0.4227941176470588,Right,42.28
W051,476,0,0.40441176470588236,Left,40.44
W051,476,2,0.17279411764705882,Violation,17.28
W051,477,1,0.4229390681003584,Right,42.29
W051,477,0,0.4157706093189964,Left,41.58
W051,477,2,0.16129032258064516,Violation,16.13
W051,478,0,0.358974358974359,Left,35.9
W051,478,1,0.358974358974359,Right,35.9
W051,478,2,0.28205128205128205,Violation,28.21
W051,479,0,0.42424242424242425,Left,42.42
W051,479,1,0.4217171717171717,Right,42.17
W051,479,2,0.15404040404040403,Violation,15.4
W051,480,1,0.44529262086513993,Right,44.53
W051,480,0,0.43256997455470736,Left,43.26
W051,480,2,0.12213740458015267,Violation,12.21
W051,481,1,0.4482758620689655,Right,44.83
W051,481,0,0.3891625615763547,Left,38.92
W051,481,2,0.1625615763546798,Violation,16.26
W051,482,1,0.49759615384615385,Right,49.76
W051,482,0,0.42788461538461536,Left,42.79
W051,482,2,0.07451923076923077,Violation,7.45
W051,483,1,0.4811594202898551,Right,48.12
W051,483,0,0.4289855072463768,Left,42.9
W051,483,2,0.08985507246376812,Violation,8.99
W051,484,1,0.4258064516129032,Right,42.58
W051,484,0,0.4,Left,40.0
W051,484,2,0.17419354838709677,Violation,17.42
W051,485,0,0.4258064516129032,Left,42.58
W051,485,1,0.3967741935483871,Right,39.68
W051,485,2,0.1774193548387097,Violation,17.74
W051,486,1,0.47368421052631576,Right,47.37
W051,486,0,0.4138755980861244,Left,41.39
W051,486,2,0.11244019138755981,Violation,11.24
W051,487,0,0.45560747663551404,Left,45.56
W051,487,1,0.4205607476635514,Right,42.06
W051,487,2,0.12383177570093458,Violation,12.38
W051,488,1,0.47961630695443647,Right,47.96
W051,488,0,0.4052757793764988,Left,40.53
W051,488,2,0.11510791366906475,Violation,11.51
W051,489,1,0.43315508021390375,Right,43.32
W051,489,0,0.4304812834224599,Left,43.05
W051,489,2,0.13636363636363635,Violation,13.64
W051,490,0,0.46511627906976744,Left,46.51
W051,490,1,0.3953488372093023,Right,39.53
W051,490,2,0.13953488372093023,Violation,13.95
W051,491,1,0.45154185022026433,Right,45.15
W051,491,0,0.43392070484581496,Left,43.39
W051,491,2,0.1145374449339207,Violation,11.45
W051,492,0,0.44786729857819907,Left,44.79
W051,492,1,0.44786729857819907,Right,44.79
W051,492,2,0.10426540284360189,Violation,10.43
W051,493,0,0.45598194130925507,Left,45.6
W051,493,1,0.435665914221219,Right,43.57
W051,493,2,0.10835214446952596,Violation,10.84
W051,494,1,0.46246973365617433,Right,46.25
W051,494,0,0.43099273607748184,Left,43.1
W051,494,2,0.10653753026634383,Violation,10.65
W051,495,0,0.4223433242506812,Left,42.23
W051,495,1,0.4141689373297003,Right,41.42
W051,495,2,0.16348773841961853,Violation,16.35
W051,496,1,0.47877358490566035,Right,47.88
W051,496,0,0.4033018867924528,Left,40.33
W051,496,2,0.1179245283018868,Violation,11.79
W051,497,0,0.48770491803278687,Left,48.77
W051,497,1,0.4180327868852459,Right,41.8
W051,497,2,0.0942622950819672,Violation,9.43
W051,498,1,0.4105011933174224,Right,41.05
W051,498,0,0.3818615751789976,Left,38.19
W051,498,2,0.20763723150357996,Violation,20.76
W051,499,1,0.45278969957081544,Right,45.28
W051,499,0,0.41201716738197425,Left,41.2
W051,499,2,0.1351931330472103,Violation,13.52
W051,500,0,0.475,Left,47.5
W051,500,1,0.3975,Right,39.75
W051,500,2,0.1275,Violation,12.75
W051,501,1,0.4238875878220141,Right,42.39
